params,molecule,choice,fail,time
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"RS(=O)(=O)N(STc1c(N=T)n(Br)cc1)\[C@]=C\C_",,#fail: 115,execution time (ms): 378835
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"X[TH+]ST[TH+]=N[C@@]c1onnc1c2cccc(Br)c2CX",,#fail: 8,execution time (ms): 96970
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"c1oncc1N(N=O)[TH+]TCN=[TH+]C(CBr)SCCCCCCCl",,#fail: 301,execution time (ms): 355883
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"c1onnc1C2(O[N+]3(ON3)O2)c4cnccc4C=CCCC#N",,#fail: 259,execution time (ms): 343341
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,"R/[TH+]=[N+](OO/[N+]=N\C(OSCCCCCBr))\[C@]",,#fail: 5,execution time (ms): 59227
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,"C=CSC#[C@]SCOC#Cc1n[nH]nc1c2cncn2T[TH+]F",,#fail: 287,execution time (ms): 250707
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,"Cl/C(c1occ(c2snnn2)c1CCC=[TH+]TI)=C/[C@H]",,#fail: 4,execution time (ms): 51418
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,"T/N=C([N+]CO/N=C\N([C@H]SSS[C@](=CI)))/C",,#fail: 503,execution time (ms): 428676
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,"ClTT/[N+]=[C@](S[N+]1(F)C(SI)SOC[TH+]1)/C",,#fail: 411,execution time (ms): 313457
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"[O-]/C=C(N(N(Br)STR)(CTN1[C@@]=[TH+]1))\T",,#fail: 161,execution time (ms): 292667
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,"[TH+]C#[N+]SN=[C@@]TCSTTTS[C@][C@](=CI)Br",,#fail: 9,execution time (ms): 64831
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,"C[C@@H]\[TH+]=[N+](S/N=N/[C@](=COTOC))\T",,#fail: 253,execution time (ms): 399585
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"TN1ON(Cl)N=NO[C@]2(CN(CCl)C2(I)(C[TH+]))N1",,#fail: 31,execution time (ms): 75742
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,"ClS/[TH+]=C([C@]S/[N+]=[TH+]/C(=NCSSI))/O",,#fail: 258,execution time (ms): 312883
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"N(Cl)(TOI)\[N+](OT/N=[C@@H]/N(I))=C(CT)/T",,#fail: 101,execution time (ms): 221725
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"C/[C@](S[C@]c1sccc1OC(X)TTTC=T)=C\[C@@H]",,#fail: 116,execution time (ms): 134265
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 true,"I\C(SN(I)([C@@H]/N=[C@]\[TH+]))=[C@@H]/O",,#fail: 3,execution time (ms): 79026
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 true,"R\N=[N+]([C@]1SOSSN=[C@]([C@](=C))T1)/T_",,#fail: 3,execution time (ms): 92807
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 true,"CS\N=[C@@](TT\C(N1COC(=C)[C@H]O1)=N/O)\T",,#fail: 535,execution time (ms): 809185
