params,molecule,choice,fail,time
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,C(TOO(CTOOOT))C(C(C(=C))CC#CC(#CBr))(T)T_, 794, 381, 71746
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 100 200 true,T(TTC(TC(OC#CO[C@H]([C@@])))(N=O))C1SOC1, 126, 45, 33652
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,FOSC(TCC1CTCCCC1(T(OOTCOC#C))(C))C(=CT)C, 81, 23, 34906
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,S(c1[nH]ncn1)C/N=C(c2[nH]nnc2[TH+](X))\C, 1289, 604, 217300
40 maxMarginalStrengthLDS true false 2 1 1800 1750 2250 -200 -100 true,C(TC(C(C(=C(C(T))(F)))(CT))(=C))OC1TOOT1, 623, 36, 388468
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,[C@H][TH+]ST\[TH+]=[C@@](CCN(SI)I)/[C@H], 593, 260, 85755
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,S(N=T)SC(F)/C(c1[nH]cnc1T(TSCl))=C\[C@@H], 40, 8, 47097
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,S(SR)CC(C(X)CN1(C(C\N=C(SCI)\O)))=[N+]1T, 4349, 2089, 355433
40 maxMarginalStrength true false 2 1 1800 1750 2250 100 200 true,T(C(C)CCCSC(C=C(C(C(=C)))))C1CC2(TTT2)T1, 42, 1, 44826
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,C(SCC(=T)CC1C=CO1)N(CC=NCC2TCTC2)TSCC#N_, 62, 16, 35161
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -400 -300 true,[C@](CC1(CN=CTCO1)C2C(C(C#N)TTO3)N3N2)R_, 461, 214, 61247
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,R[N+]N(TSN=O)\[N+](SC1CC1)=C(C2SC=C2)/C_, 195, 84, 49025
40 maxMarginalStrength true false 2 1 1800 2750 3250 -400 -300 true,C1CC(C2TC(C(CCTCOCCOCOCOC3TTTC3))CC2)CC1, 8885, 4422, 306025
