params,molecule,choice,fails,time,weight,logp
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 2 2 true,X/C=[N+](SCN1[C@H]TTSN1([N+]2[C@]CO2))\C,2772,1320,887734,2202,-194
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 1 3 true,[TH+]TN(TCCCC#CCC(Cl)=C(CSOC)F)CSc1csnc1X,184,75,42290,3798,182
40 maxMarginalLDS true false 2 1 1800 0 5000 -400 500 2 3 true,FCC1CC(C(CC(CCOCCSCTCTCTCBr)CC2TCCTC2))C1,64,5,235024,4350,98
40 domWdegRandom true false 2 1 1800 0 5000 -400 500 1 2 true,RTTN(F)c1nncnc1S[N+][C@@][C@H]C(=C)[TH3+],27,0,29570,2151,-95
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 1 3 true,c1csnc1TT[TH+]=C(C(#C(Cl)))STS/N=[C@@H]\S,66,20,33428,2779,-102
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 2 4 true,ClC#[N+]C[N+]([C@]C1(C2TN2(C=NBr))(I))=C1R,33,3,45399,3873,-185
40 domWdegRandom true false 2 1 1800 1750 2250 100 200 2 2 true,RN=NN(C(C1TS1)T[C@@H]S2)[C@H]2[C@]C=NC=T,713,324,276468,2122,111
40 domWdegRandom true false 2 1 1800 0 5000 -400 500 3 3 true,Rc1scnc1TCC(C2(CC2)Cl)(TTO3)N3[TH+]/C=C/S,1833,863,646400,2737,74
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 2 3 true,ClTSSON=[N+]c1c[nH]c(ON=[C@]C2(CC2)(I))n1,1044,479,283035,4176,149
40 domWdegRandom true false 2 1 1800 1750 2250 -200 -100 1 2 true,C#[C@@]TSSSN(T[TH+]1([C@H]=[C@@]C#N))N1F,3569,1722,785006,2183,-193
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 2 3 true,c1conc1c2[nH]nnc2[TH+]\[C@](T)=C(O(Br))\S,44,11,37546,2870,-182
40 maxMarginalStrengthLDS true false 2 1 1800 3750 4250 -400 -300 1 3 true,C1CC(C(TCTCCCCOCCTCOCCOCC(CTCOC)CTC))CC1,74,7,91774,3840,-304
40 domWdegRandom true false 2 1 1800 0 5000 -400 500 2 2 true,ISc1onnc1[TH+]SCTOC2(CC2)C(CF)=N[C@@]=NCl,26,0,28139,4496,-76
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 2 2 true,Xc1occ(SSI)c1N(TCCN2)[TH+]2CT\C=[C@@H]/S,95,35,48424,3852,-306
40 maxMarginalStrength true false 2 1 1800 2750 3250 -200 -100 3 4 true,COC1CC(C2TC(CC)CC(CC(CTTC3CTCOC3))C2)TC1,411,186,165262,2920,-109
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 1 3 true,c1ccoc1N=C([C@@](=C)I)C(OTCl)=NTST[C@@]#N,70,23,45193,3795,-103
40 maxMarginalStrengthLDS true false 2 1 1800 1750 2250 -200 -100 3 4 true,CTCC(C1TC(C2=CTTC2)C(C3C=CC3(TC))=C1)C__,44,3,124173,2120,-106
40 maxMarginalStrengthLDS true false 2 1 1800 1750 2250 100 200 3 3 true,C=CC(C1TC(C2TC=CC2)C(C=CC3CCTTT3)=C1)C__,97,13,122437,2240,105
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 3 2 true,CS\N=C(Tc1c2([N+][C@H]2)nnc1TTTC3TCC3)\C,96,35,44189,2201,-320
40 maxMarginal true false 2 1 1800 2750 3250 100 200 2 3 true,C1CC(CC(CC(CC=CTC=CCCSCTC=C))C2TCTC2)TC1,41,0,96848,3161,116
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 2 3 true,c1cccn2c1cnc2T/C=C([C@]T[C@](=C)N(T)T)\C,1394,654,669142,2100,-306
40 maxMarginalStrength true false 2 1 1800 1750 2250 100 200 3 4 true,C=CC(C1TC(C2=CTTC2)C(C3CCC3(TTC))=C1)C__,93,28,132646,2120,142
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 1 4 true,O1N=[C@]OTSN(N(Br)(T/C=N/[C@@](=C=CF)))S1,255,102,89876,3131,-182
40 maxMarginalLDS true false 2 1 1800 1750 2250 -400 -300 3 2 true,C1CC(C(C2COC[C@H]N=C2)=C=CC3TTTTC3)TC1__,65,6,174940,2150,-301
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 1 3 true,S=C[TH+]=[N+]TN(C([C@@])=C)C(OOTSS1)=C1Br,158,65,57641,3132,111
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 1 3 true,Fc1onc(TN=C(R)[C@]N=CSN([TH+]C#CF)C)c1SI,260,104,94798,4151,-178
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 1 2 true,BrN([TH3+])[C@@]#CTTTC(=N[C@H]CCO1)[C@@]1T,298,126,133594,2159,-351
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 2 3 true,N1=NN=NOOC2(N=[C@@H]SC(C)(T)C=[TH+]2)C1_,818,372,225217,2121,-307
40 maxMarginalLDS true false 2 1 1800 2750 3250 100 200 3 3 true,C1TC(C(C2CTCTC2)C=CCCC(C)CCCCC3TCTC3)CC1,41,0,115122,3000,156
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 1 4 true,RTOOSTN(F)C(=C)C(C(F)=C1)=[C@]1OS[N+]#CI,186,78,62384,3911,186
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 1 4 true,O([N+]OCC1(S(C([N+]CCl)=NC)))N1TO[C@@]C=O,37,5,29644,2846,-177
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 3 4 true,N1TC2(N(X)N2)C(I)(OC=N[C@]S3)[TH+]3C=NC1,2782,1321,715807,3240,-317
40 domWdegRandom true false 2 1 1800 3750 4250 -200 -100 2 4 true,ClC1(OO[C@H]OTCC1(c2cn(T)nc2I))C([N+]=C)F,6626,3214,1203263,3874,-117
40 domWdegRandom true false 2 1 1800 0 5000 -400 500 3 3 true,[C@]c1[nH]nc(I)c1N(c2c(F)occ2N3ON3)[N+]R,29,1,40532,3639,86
40 maxMarginalStrength true false 2 1 1800 3750 4250 100 200 3 2 true,C1C(C2CC(COCCTCCTCCTCCCC3CCSCC3)CC2)TCC1,40,1,108161,3781,184
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 2 3 true,O(Br)c1[nH]ncc1[TH+]C(X)(X)CTc2c[nH]nc2SCl,101,38,56297,3205,-157
40 domWdegRandom true false 2 1 1800 0 5000 -400 500 2 2 true,Clc1sc2c(CN2)c1N=CCSCOTCN=NON=CC([C@]=C)Br,33,0,39059,4506,297
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 2 4 true,S=[N+]N(SC1(CC1)C2(CO(ST[C@H]Br)))N2C=NOF,1247,581,396799,3762,111
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 1 4 true,C#[N+][N+](S([TH+]))(CT)TN([C@@]O1)C1N=S,327,137,79483,1912,-302
40 maxMarginalStrengthLDS true false 2 1 1800 2750 3250 -200 -100 1 2 true,CTCC(C(=C=CTTC=CC#CC#CCTCOC=C=CC)TCC1)C1,40,0,85897,2900,-164
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 1 2 true,Brc1occc1TOOON=NO[TH+]([C@](=C))CC[C@@]#N,4312,2078,1074627,3169,-307
40 domWdegRandom true false 2 1 1800 2750 3250 -400 -300 3 2 true,F\C([TH+]Sc1c2([TH+]O2)ncc1TC3SSCC3)=N/O,4427,2138,1228108,2773,-304
