params,molecule,choice,fail,time
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,R\N=C(N1[TH+]CCS(=O)(=O)N(CCBr)[C@]O1)\O_, 26, 1, 177205
40 domWdegRandom true false 2 1 1800 3750 4250 100 200 true,S=[N+][TH+]O\[C@]=C(CN(SCCBr)CCCCBr)\[N+]_, 62, 17, 204505
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -400 -300 true,C(CN(N(C(OC(C1CTTSCC1)I)C)F)C=[TH+]C)OOT, 4786, 2376, 742871
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,Cl[TH+]\[TH+]=[C@](CC=Cc1oc2c(SSSS2)n1)/T, 32, 5, 203981
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 3750 4250 -400 -300 true,BrCSC1C(CSCR)(CTF)CC(C#CC(CN2TN2)TTOC)=C1, 925, 448, 318996
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,RN(F)N=CCC1(N(TT[TH3+])ON(Br)C1)CC(CF)=CCX, 45, 7, 261742
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,T=C[TH+]c1cn(SST(Cl))nc1N(TR)[C@](=C=CI)Cl, 914, 424, 907521
40 maxMarginalLDS true false 2 1 1800 3750 4250 100 200 true,C1CC(CC2CCOCC2(CTCCOCTCOCOCC3CCCCC3))SC1, 41, 0, 159173
40 maxMarginal true false 2 1 1800 2750 3250 100 200 true,C1(C(C(C2CTCC2)CTCCCCCCCF)C3CCCCC3)TTTC1, 41, 0, 265376
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 100 200 true,C(C1(SCN=C1)CT)(=T)C2C(R)(TC3(C))C3TOON2, 2741, 1354, 987232
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,FN(OC(R)TN1)C1CCN(N(CC=CCl)R)CN2CCTC[C@]2, 34, 1, 198607
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 100 200 true,RC(TF)(O(TC))C=CCC1TSC(C(C#[C@@]T)=C)C1_, 987, 478, 350951
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,ClTCN(CC1(CC=C)(N(=NC=C(OOC2TTOC2)TC)))C1, 33, 0, 250088
40 domWdegRandom true false 2 1 1800 1750 2250 -400 -300 true,ClSc1[nH]cc(F)c1N=[TH+]TS(=O)(=O)[TH+]T__, 53, 16, 154520
40 maxMarginalStrengthLDS true false 2 1 1800 1750 2250 -200 -100 true,T(C(C1TCC1)C2CTCC2(C(C=C=C(C3TCTC3))))F_, 40, 0, 186035
40 domWdegRandom true false 2 1 1800 2750 3250 -200 -100 true,O=N[N+]=[N+]=[N+]ON=[TH+]S[C@@H]=C(I)C=O, 27, 1, 215320
40 domWdegRandom true false 2 1 1800 3750 4250 -400 -300 true,TON(Br)[TH+]OT\N=C(C[C@]T[N+][C@](=CI))\S, 653, 290, 527475
40 maxMarginalStrength true false 2 1 1800 1750 2250 100 200 true,T(C(C1TCC1)C2CTSC2(C(C=C=C(C3=CTC3))))T_, 49, 6, 190469
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 2750 3250 -200 -100 true,C(TCCX)#CCTN(N(TN(R)C(C=CC#C))CCl)C=NC=O_, 38, 3, 249977
40 maxMarginalStrengthBiasedWheelSelectVal true false 2 1 1800 1750 2250 -400 -300 true,TC=COC1(N(C2C(C=[TH+])TN=[C@]N2)C=NC)OO1, 163, 66, 241602
40 domWdegRandom true false 2 1 1800 2750 3250 100 200 true,S1OTSTN=[C@](T\[C@H]=N\C(SC#CF)(CCCl))O1_, 30, 0, 205091
