[INFO] Scanning for projects...
[INFO] 
[INFO] -------------------------< minicpbp:minicpbp >--------------------------
[INFO] Building minicpbp 1.0
[INFO]   from pom.xml
[INFO] --------------------------------[ jar ]---------------------------------
[INFO] 
[INFO] --- exec:3.1.0:java (default-cli) @ minicpbp ---
nb eq ; ineq 4 ; 0
maxMarginal
c Warning: method updateBelief not implemented yet for LinEqSystemModP constraint. Using uniform belief instead.
[INFO] Now solving
No restarts
T(T)C(C(CTC(COCTCTCCOC#CSC=C)))C________ weight of 2541 logP of 0
T(N=C(C(CTC(C#CTC)CC)CSC=CCCX))C________ weight of 2491 logP of 0
TC(CC(C(CTC(C=CTC)CCTC#CSC)CR))C________ weight of 2501 logP of 0
CTN(C(C(CTC(CCCTC)CCTC#C)C=CX))C________ weight of 2330 logP of 0
T(Cl)C(C(CTC(C#CTCCCC#CSC#C)CX))C________ weight of 2646 logP of 0
RCTOC(C(CTC(C)CTCOCC#COC=COCR))C________ weight of 2680 logP of 0
TN(OC(C(CTC(CTCTCSCC)C=C=COC)))C________ weight of 2711 logP of 0
O(N=C(C=CTC(CTCTCTCCTC=CCCSC)))C________ weight of 2671 logP of 0
T(OTC(C)CTC(C=CTCTCCOCOC=C=CCl))C________ weight of 2725 logP of 0
O(O(C(C#CTC(C)CTCCCC)CTC=CSCR))C________ weight of 2681 logP of 0
C(#CC(C=CTC(CTCTCCCC)C#CTCOCC))C________ weight of 2580 logP of 0
XN(TC(C#CTC(CTCTCOCC#CCCCCOC)))C________ weight of 2630 logP of 0
O(O(C(C#CTC(C)CTCSCCTCCCTC)CT))C________ weight of 2701 logP of 0
XC(TC(CCCTC(C=CTCSCC#CCC=C)CX))C________ weight of 2621 logP of 0
N#CTC(C(CTC)C#CTC=CC(CTC(C#C)))C________ weight of 2110 logP of 0
TCCCC(CCCTC)CTCTC#CC(CTC(C(C)))C________ weight of 2480 logP of 0
FTOOC(C(CTC)C#CTC#CCCC(C(C#C)))C________ weight of 2480 logP of 0
